기준시간,원본시간,제목,미리보기
1일 전,7시간 전,"이복현 원장에 개미들 몰려갔다는데 … 이재용 회장님, 보고 받으셨는지...",동시에 당시 반도체 투자에 심드렁했던 정치권과 단절을 선언하는 의지의 표현이기도 했다. 노회한 정치인 김종인 전 비대위원장은 이 발언을 회고하며 '경제권력이 정치권력을 넘어섰다는 오만한 선언'이라고 이를 갈았을 정도다. 삼성은 그렇게 성장했다. 정경유착을 끊어내지 못한 재계의 거인들이 익숙한...
1일 전,7시간 전,"트럼프 행정부, 내달 2일부터 '상호관세' 부과…한미 FTA 개정 불가피하...","그는 ""철강, 알루미늄, 반도체, 자동차 제조 등 전략 산업의 경쟁력을 강화하기 위해 국내 생산을 촉진할 경제적 인센티브를 제공할 것""이라며, 기존 무역 체제의 재편 필요성을 강조했다. 또한 ""미국이 상대국에 부과하는 관세와 동일한 수준의 관세를 상대국에도 부과하는 방식으로 무역을 재조정할 것..."
1일 전,7시간 전,'알짜인데 약한고리'…DB하이텍 주가 상승 딜레마,DB하이텍은 세계 10대 반도체 수탁 생산(파운드리) 회사로 김준기 DB그룹 창업 회장이 사재까지 사용하면서 공 들인 기업이기 때문이다. 한때 만년 적자로 '애물단지'로 평가받았으나 사업 진출 13년만인 2014년 영업이익 턴어라운드에 성공했고 이듬해 2015년 흑자 전환을 달성했다. 수익성(매출 대비...
1일 전,7시간 전,"美 국무 ""상호관세 도입 후 양자 협상 나설 것""...한국 FTA 재협상 압박","[사진=로이터 뉴스핌] 루비오 장관은 이어 ""트럼프 대통령은 알루미늄, 철강, 반도체, 자동차 산업 등 핵심 산업에서 미국의 자체 역량을 확보해야 한다고 본다""라며 ""이를 위해 자국 내 생산을 유도하는 경제적 유인이 필요하다""라고 강조했다. 또 ""상대국이 우리에게 매기는 관세만큼 우리도 똑같이 관세를..."
1일 전,7시간 전,"GTC 개막, 젠슨 황 또 신형칩 공개하나…삼전 관련 언급은?",엔비디아는 이번 GTC에서 최신 반도체 아키텍처인 블랙웰 기반의 블랙웰 울트라 GB300을 공개할 것으로 기대된다. 세계적 투자은행인 도이치뱅크는 GB300이 기존에 선보였던 GB200보다 50% 더 많은 메모리 용량과 훨씬 더 뛰어난 성능을 제공할 것이라고 전망했다. 투자자들은 엔비디아가 블랙웰 칩...
1일 전,7시간 전,켐트로닉스 주가 다시 고개...실적 개선 통해 저평가주로 매력,"유리기판은 차세대 반도체 패키징 기술로, 고성능 반도체 수요 증가와 함께 시장 규모가 확대될 것으로 전망된다. 삼성전기와의 협력을 통해 유리기판 시장에서 경쟁력을 확보하고, 새로운 성장 기회를 창출할 수 있을 것으로 보인다. 3만 원대 위 구간에서 기관 투자자들의 집중 매수가 예상된다는 분석은..."
1일 전,7시간 전,"민주당 진성준 “정년연장 논의 공론화 필요, 연금개혁과 함께 맞춰야”","여야 추경 논의와 관련해선 “여야, 정부 간에 ‘실시하자’라고 하는 원칙적 합의는 이루어진 상태”라며 “다만 구체적인 시기와 규모, 세부적인 내역은 실무 협의를 통해서 정해 가자고 했는데 국민의힘이 연금개혁이나 반도체특별법 등 다른 문제를 자꾸 끄집어들이는 연계 전략을 쓰고 있다”고..."
1일 전,7시간 전,"한미반도체 곽동신 회장, 30억 규모 자사주 매입",한미반도체는 곽동신 한미반도체 대표이사(회장)가 30억원 규모의 자사주를 취득한다고 17일 공시했다. 취득 예정 시기는 4월17일로 보통주 3만4170개를 8만7800원에 장내매수한다. 규모는 30억12만6000원이다. 곽 회장은 앞서 2024년 10월24일과 올해 3월14일 두차례에 걸쳐 4만1568주를 장내매수하기도...
1일 전,7시간 전,"한미반도체 곽동신, 30억원 규모 자사주 추가 매입…HBM 장비 자신감 '표...","한미반도체 곽동신 회장이 사재를 들여 30억원 규모의 자사주를 추가 매입한다. 이는 지난 2월 30억원 규모 자사주 취득 계획에 이어 두 번째로, 곽 회장은 2023년부터 총 423억원에 달하는 자사주를 장내에서 사들였다. 14일 한미반도체는 곽 회장이 이날부터 내달 15일까지 자사주 매입을 진행할..."
1일 전,7시간 전,"센서뷰, 'AI 공룡' 엔비디아에 계측 케이블 공급 ""고난도 데이터센터 확...","방위산업 및 반도체 계측 장비용 케이블·안테나 전문기업 센서뷰가 'AI(인공지능) 열풍'의 최대 수혜주로 꼽히는 엔비디아(NVIDIA)에 고주파 RF 계측·측정용 케이블 조립체를 공급한다. 17일 IT업계에 따르면 센서뷰가 공급하는 케이블은 67GHz까지 대응 가능한 첨단 고주파 케이블로, 자사 제품 포트폴리오 중..."
1일 전,7시간 전,"엣지파운드리, 한화 그룹사 시너지 확대 기대에 7%↑[특징주]","센서 설계부터 양산까지 One-Stop Solution 체계를 구축하고 있으며, 6 Step(타사 약 10 Step)의 간소화 공정 및 CMOS 표준 반도체 공정 적용으로 생산 비용 절감 및 가격 경쟁력을 확보하고 있다는 게 최 연구원의 평가다. 그는 “현재 국내에서 타사가 군수용 냉각형 적외선 센서를 납품 중인데..."
1일 전,7시간 전,"인천시, 세계인이 찾는 ‘글로벌 관광도시’로 본격 도약 시동",바이오·반도체 등 전략산업과 연계한 전시회 및 대규모 기업회의 확대를 추진한다고 밝혔다. 한국관광공사 한국관광데이터랩에 따르면 2024년 인천... 마이스(MICE) 산업에서도 글로벌 허브로 자리 잡기 위해 정부와 공동으로 바이오·반도체 등 인천 전략산업과 연계한 전시회를 집중 발굴·개최할...
1일 전,7시간 전,美증시 훈풍에 코스피도 1%대 상승 출발…반도체株 강세[개장시황],"필라델피아 반도체 지수도 3.3% 상승하며 아웃퍼폼했다. 이에 삼성전자(005930) 2.93%, 삼성전자우(005935) 1.87%, SK하이닉스(000660) 0.98% 등이 큰 폭으로 오르고 있다. 다른 코스피 시가총액 상위 10개 종목은 혼조세를 보이고 있다. 한화에어로스페이스(012450) 1.84%, 삼성바이오로직스..."
1일 전,7시간 전,"인천시, 세계인이 찾는 ‘글로벌 관광도시’로 본격 도약 시동",바이오·반도체 등 전략산업과 연계한 전시회 및 대규모 기업회의 확대를 추진한다고 밝혔다. 한국관광공사 한국관광데이터랩에 따르면 2024년 인천... 마이스(MICE) 산업에서도 글로벌 허브로 자리 잡기 위해 정부와 공동으로 바이오·반도체 등 인천 전략산업과 연계한 전시회를 집중 발굴·개최할...
1일 전,7시간 전,"[서학개미 브리핑] 엔비디아, 저가매수세 유입·GTC 기대감 '활활'","먼저 반도체 왕국 부활을 꿈꾸는 인텔입니다. 3개월간 공석이었던 CEO 자리에 립부 탄 전 케이던스 CEO가 임명됐습니다. 이에 대한 기대감에... 또 인텔 이사회에서의 활동을 바탕으로 한 인텔 사업에 대한 이해도, 그리고 벤처캐피털 월든 인터내셔널 회장으로서 미국과 아시아 산업 전반에 걸친..."
