기준시간,원본시간,제목,미리보기
1일 전,2시간 전,[청도군 소식] 청도군 청년 맞춤형 사업 본격 추진,"청도군, 전 직원 대상 챗GPT 활용 교육 실시 미래 행정을 준비하는 실무 중심 AI 교육 청도군(군수 김하수)은 지난 13일 국민체육센터 실내체육관에서 군청... 김하수 청도군수는 ""챗GPT 교육은 행정 업무 혁신의 중요한 발판이 될 것이며, 앞으로도 기술을 활용한 실무 교육을 지원하여 직원들이 최신 기술을..."
1일 전,2시간 전,의료기기·AI 융합으로 메디컬 플랫폼 비전 제시,셀바스AI(대표 곽민철)는 지난해 1월 의료기기 업체 메디아나를 품으며 본격적으로 인공지능(AI) 의료시장 공략에 나섰다. 보유한 인공지능 기술을 셀바스 헬스케어와 메디아나 의료기기에 접목해 기존의 소프트웨어 영역을 넘어 인공지능 원격의료를 포함한 디지털 헬스케어 사업에 속도를 내고...
1일 전,2시간 전,"신세계아이앤씨, 신임 대표에 양윤지 상무 내정","신세계아이앤씨는 ""양 신임 대표는 POS, 클라우드, AI 등 다양한 IT서비스 분야를 두루 거친 개발자 출신 IT 전문가로 신세계아이앤씨의 기술 경쟁력 강화와 새로운 성장동력 확보를 리딩할 것으로 기대된다""고 밝혔다. 양윤지 신세계아이앤씨 신임 대표 △1971년 3월생 △경희대 IT경영학 석사..."
1일 전,2시간 전,"하나은행, '2025 대한민국 최우수 무역금융 은행상' 수상","혁신기술과 AI 기반 설루션을 통한 탁월한 서비스를 제공하는 등 무역금융 활성화에 기여한 점이 높이 평가됐다""고 선정 이유를 밝혔다. 하나은행 관계자는 ""이번 수상은 하나은행의 글로벌 무역금융 역량이 최고 수준임을 다시 한번 대내외에 입증한 결과""라며 ""수출입 업무의 디지털화, 블록체인 도입, ..."
1일 전,2시간 전,"[특별기획] 고양시, 노인 경제적 자립과 사회참여 확대에 행정력 집중....","AI 돌봄로봇 51대와 IOT 안전돌봄장비 115대, 응급안전장비 1,610대를 활용해 스마트 돌봄도 확대한다. 이를 통해 거주환경, 움직임, 말벗 등 가택 내 돌봄과 응급상황을 상시 모니터링한다. 또한, 노인인구 10.4명 중 1명에 달하는 치매노인 돌봄에 대해도 진료비 지원과 인지기능 저하 예방 등 의료서비스를..."
1일 전,2시간 전,2월 ICT 수출 167억 달러로 반등…휴대폰·통신장비 호조에 힘입어,"특히 국내 기업의 AI 서버 및 GPU 투자 확대로 중대형 컴퓨터(3.3%)와 멀티미디어 카드(41.6%) 수입이 크게 증가했다. 정부 관계자는 ""글로벌 경기 둔화 우려에도 불구하고 휴대폰, 통신장비, 컴퓨터·주변기기 등의 수출 호조로 전체 ICT 수출이 증가세로 돌아섰다""며 ""앞으로도 수출 다변화와 신성장 동력..."
1일 전,2시간 전,3GPP 6G 국제회의서 의장단 진출 등 성과,"특히 국내 이동통신 3사와 삼성전자, LG전자, 한국전자통신연구원(ETRI) 등 국내 산업계가 한목소리로 강조한 △AI와 6G의 결합 △에너지 절감 기술 △6G 단독모드(SA) 구조 등이 6G의 핵심 연구항목에 포함됐다. 지상망(TN)과 비지상망(NTN) 결합도 6G 초기 연구에 포함됐다. 이에 더해 과기정통부의 6G 연구..."
1일 전,2시간 전,"강수현 양주시장, 경동대·신한대와 'RISE 산학협력' 협약","이번 협약은 경기북부 섬유·패션산업의 AI·DX(디지털 전환) 혁신 생태계를 구축하기 위해 마련된 가운데 강수현 양주시장을 비롯해 전성용 총장, 강성종 총장 등이 참석해 뜻깊은 순간을 함께했다. 향후, 양주시와 양 대학은 힘을 모아 첨단 기술을 기반으로 산업 구조를 혁신하고 미래인재를 양성하는..."
1일 전,2시간 전,"서울핀테크랩, 18개 기업과 함께 자산관리 분야 협력 네트워킹 행사 개...","일부 기업들은 외국인 및 단기 방문 외국인(관광)을 위한 글로벌 서비스를 준비하고 있는 기업들과의 네트워킹을 목표로 참여하며, AI, 블록체인, 빅데이터, 카드사와의 네트워크 구축을 통해 서로의 정보 공유 및 업무 협의를 추구한다. 또 일부 기업들은 자산관리 시장 내 STO(증권형 토큰) 활용 사례를..."
1일 전,2시간 전,"금감원, 디지털 전환…""AI로 불공정 혐의 거래 적출""","2027년까지 금융감독 업무 프로세스 디지털화·데이터 기반 감독체계로 생성형 AI로 민원 처리 지원…디지털 인허가체계 구축 금융감독원이 2027년까지... 또 패턴 인식 능력이 우수한 인공지능(AI) 기술을 불공정 혐의 거래 적출에 적용할 계획이다. 금감원은 ""이를 통해 신속하고 정확한 리스크 모니터링 체계를..."
1일 전,2시간 전,커먼컴퓨터·블록미디어· 블록체인투데이 'Web3 AI 미디어 세미나 2025'...,"커먼컴퓨터, 블록미디어, 블록체인투데이가 공동 주최하고 마이크로소프트, 에스핀글로벌, 모두의연구소가 후원하는 'Web3 AI 세미나 2025'가 28일 개최된다. 서울 강남 모두의연구소 라운지에서 열리는 이번 세미나는 Web3와 AI가 결합한 새로운 미디어 패러다임을 탐색하는 행사로 인공지능 기술을 활용한..."
1일 전,2시간 전,"[유통워치] 유통업계, 신제품 출시·성장성·접근성·패키지·채용·기획...","원픽 프리미엄이 단기간 내에 높은 매출을 기록할 수 있었던 이유는 ▲고도화된 AI 추천 기술 ▲전용 인재 풀 활용 ▲신속한 추천 시스템 ▲1:1 전담... 이어졌다""며 ""앞으로도 AI 기술과 데이터 분석 역량을 고도화하고 방대한 인재풀을 활용해 기업과 구직자 모두에게 최적의 매칭 서비스를 제공할 것""이라고..."
1일 전,2시간 전,"네이버 커넥트-정보통신산업진흥원, AI 역량 교육 실시",(사진=네이버) 네이버 커넥트재단(이사장 조규찬)은 정보통신산업진흥원(원장 허성욱)과 협력해 초등학생 대상으로 인공지능(AI) 및 소프트웨어(SW) 교육 기회를 확대한다고 17일 밝혔다. 네이버 커넥트재단은 지난 14일 정보통신산업진흥원과 지역 -SW 교육 확산을 위한 업무협약을 체결했다. 커넥트재단은...
